team,points,goals_for_per_match,shots_for_per_match,shot_on_target_rate_for,goal_conversion_rate,attacking_profile
Liverpool,84,2.26,17.05,0.357,0.133,"High volume / high accuracy"
"Man City",71,1.89,15.97,0.358,0.119,"High volume / high accuracy"
Chelsea,69,1.68,15.66,0.366,0.108,"High volume / high accuracy"
Bournemouth,56,1.53,15.26,0.348,0.100,"High volume / low accuracy"
Arsenal,74,1.82,14.39,0.344,0.126,"High volume / low accuracy"
Brighton,61,1.74,14.03,0.358,0.124,"High volume / high accuracy"
"Man United",42,1.16,13.87,0.330,0.084,"High volume / low accuracy"
Newcastle,66,1.79,13.79,0.332,0.130,"High volume / low accuracy"
Fulham,54,1.42,13.71,0.332,0.104,"High volume / low accuracy"
"Crystal Palace",53,1.34,13.58,0.361,0.099,"High volume / high accuracy"
Tottenham,38,1.68,13.08,0.372,0.129,"High volume / high accuracy"
"Aston Villa",66,1.53,12.74,0.351,0.120,"Low volume / high accuracy"
"West Ham",43,1.21,12.53,0.307,0.097,"Low volume / low accuary"
"Nott'm Forest",65,1.53,12.18,0.359,0.125,"Low volume / high accuracy"
Brentford,56,1.74,11.61,0.417,0.150,"Low volume / high accuracy"
Wolves,42,1.42,11.34,0.371,0.125,"Low volume / high accuracy"
Everton,48,1.11,10.66,0.356,0.104,"Low volume / high accuracy"
Ipswich,22,0.95,9.89,0.338,0.096,"Low volume / low accuary"
Southampton,12,0.68,9.03,0.324,0.076,"Low volume / low accuary"
Leicester,25,0.87,8.82,0.331,0.099,"Low volume / low accuary"
