team,points,goal_difference,shots_for,shots_against,shot_difference,shots_on_target_for,shots_on_target_against,shots_on_target_difference,shots_for_per_match,shots_against_per_match
Liverpool,84,45,648,387,261,231,141,90,17.05,10.18
"Man City",71,28,607,355,252,217,132,85,15.97,9.34
Chelsea,69,21,595,398,197,218,157,61,15.66,10.47
Arsenal,74,35,547,362,185,188,120,68,14.39,9.53
"Man United",42,-10,527,415,112,174,152,22,13.87,10.92
Brighton,61,7,533,427,106,191,149,42,14.03,11.24
Bournemouth,56,12,580,487,93,202,174,28,15.26,12.82
Fulham,54,0,521,432,89,173,162,11,13.71,11.37
Newcastle,66,21,524,473,51,174,166,8,13.79,12.45
"Crystal Palace",53,0,516,484,32,186,155,31,13.58,12.74
"Aston Villa",66,7,484,463,21,170,160,10,12.74,12.18
Tottenham,38,-1,497,522,-25,185,186,-1,13.08,13.74
Wolves,42,-15,431,473,-42,160,174,-14,11.34,12.45
"Nott'm Forest",65,12,463,531,-68,166,176,-10,12.18,13.97
Everton,48,-2,405,480,-75,144,170,-26,10.66,12.63
"West Ham",43,-16,476,583,-107,146,187,-41,12.53,15.34
Brentford,56,9,441,647,-206,184,209,-25,11.61,17.03
Ipswich,22,-46,376,607,-231,127,216,-89,9.89,15.97
Leicester,25,-47,335,641,-306,111,216,-105,8.82,16.87
Southampton,12,-60,343,682,-339,111,256,-145,9.03,17.95
