team,points,goal_difference,goals_for,goals_against,goals_for_per_match,goals_against_per_match,shot_difference,shots_on_target_difference,shot_on_target_rate_against,goal_conversion_rate,opponent_goal_conversion_rate
Liverpool,84,45,86,41,2.26,1.08,261,90,0.364,0.133,0.106
Arsenal,74,35,69,34,1.82,0.89,185,68,0.332,0.126,0.094
"Man City",71,28,72,44,1.89,1.16,252,85,0.372,0.119,0.124
Chelsea,69,21,64,43,1.68,1.13,197,61,0.395,0.108,0.108
Newcastle,66,21,68,47,1.79,1.24,51,8,0.351,0.130,0.099
"Aston Villa",66,7,58,51,1.53,1.34,21,10,0.346,0.120,0.110
"Nott'm Forest",65,12,58,46,1.53,1.21,-68,-10,0.332,0.125,0.087
Brighton,61,7,66,59,1.74,1.55,106,42,0.349,0.124,0.138
Bournemouth,56,12,58,46,1.53,1.21,93,28,0.357,0.100,0.095
Brentford,56,9,66,57,1.74,1.50,-206,-25,0.323,0.150,0.088
Fulham,54,0,54,54,1.42,1.42,89,11,0.375,0.104,0.125
"Crystal Palace",53,0,51,51,1.34,1.34,32,31,0.320,0.099,0.105
Everton,48,-2,42,44,1.11,1.16,-75,-26,0.354,0.104,0.092
"West Ham",43,-16,46,62,1.21,1.63,-107,-41,0.321,0.097,0.106
"Man United",42,-10,44,54,1.16,1.42,112,22,0.366,0.084,0.130
Wolves,42,-15,54,69,1.42,1.82,-42,-14,0.368,0.125,0.146
Tottenham,38,-1,64,65,1.68,1.71,-25,-1,0.356,0.129,0.125
Leicester,25,-47,33,80,0.87,2.11,-306,-105,0.337,0.099,0.125
Ipswich,22,-46,36,82,0.95,2.16,-231,-89,0.356,0.096,0.135
Southampton,12,-60,26,86,0.68,2.26,-339,-145,0.375,0.076,0.126
